,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,num_chunks,chunk_size,chunk_overlap
633,94.87105560302734,19.164575576782227,1.9745445251464844,1.3223695755004883,1.9736506938934326,1.3218982219696045,4,500,225
634,94.87105560302734,19.164575576782227,1.5801714658737183,1.055205225944519,1.57960045337677,1.054904818534851,5,500,225
635,94.87105560302734,19.164575576782227,1.3169832229614258,0.8783133029937744,1.3165861368179321,0.8781049251556396,6,500,225
636,95.73920440673828,17.836833953857422,1.1359061002731323,0.7470733523368835,1.1356251239776611,0.746907114982605,7,500,225
637,95.73920440673828,17.836833953857422,0.9952592253684998,0.6580231189727783,0.9950470328330994,0.6578996777534485,8,500,225
638,96.75328826904297,14.181151390075684,0.8939986824989319,0.5787708163261414,0.8938171863555908,0.5786808729171753,9,500,225
639,96.75328826904297,14.181151390075684,0.8035016655921936,0.5194765329360962,0.8033545613288879,0.5194019675254822,10,500,225
640,75.5469741821289,41.12662887573242,5.972930908203125,4.919452667236328,5.92590856552124,4.899643421173096,1,500,250
641,89.76114654541016,29.053354263305664,3.750051498413086,2.821657419204712,3.747938394546509,2.8214194774627686,2,500,250
642,93.44314575195312,22.727828979492188,2.579982042312622,1.8035880327224731,2.5787689685821533,1.8034725189208984,3,500,250
643,96.0747299194336,16.762489318847656,1.9680274724960327,1.323473334312439,1.9673426151275635,1.3234248161315918,4,500,250
644,97.68055725097656,12.370796203613281,1.5948833227157593,1.0533850193023682,1.5945054292678833,1.0533415079116821,5,500,250
645,99.43679809570312,3.4316518306732178,1.3529164791107178,0.8644897937774658,1.3527408838272095,0.864443302154541,6,500,250
646,99.43679809570312,3.4316518306732178,1.1613826751708984,0.7449878454208374,1.1612539291381836,0.744954526424408,7,500,250
647,99.43679809570312,3.4316518306732178,1.0151199102401733,0.6486049294471741,1.0150213241577148,0.6485787630081177,8,500,250
648,99.43679809570312,3.4316518306732178,0.9024665355682373,0.5760161876678467,0.9023889303207397,0.5759959816932678,9,500,250
649,99.43679809570312,3.4316518306732178,0.8117766380310059,0.5174877643585205,0.8117142915725708,0.5174718499183655,10,500,250
